       FT0101[l/m]  FT0401[m3/h]  PT0101[Bar]  PT0102[Bar]  PT0201[Bar]  PT0202[Bar]  CV0201[%]  PT0203[Bar]           p       t_w[K]   speed[RPM]  outlet_pressure[Bar]  p_lo_min[W]  p_lo_max[W]  time_in_stop  last_time_in_stop  speed_avedev  pump_output_control_       PT0106       FT0105  PV0106  SC0401
count   1030.00000        1030.0       1030.0  1030.000000  1030.000000  1030.000000     1030.0       1030.0  1030.00000  1030.000000  1030.000000           1030.000000       1030.0       1030.0   1030.000000        1030.000000   1030.000000           1030.000000  1030.000000  1030.000000  1030.0  1030.0
mean       2.49434           0.0          0.0     3.685961     3.604097     3.559825        0.0          0.0   121.44466   295.881612  1896.809709              3.698691          0.0        571.0    122.042718          82.607767    221.800000             21.793204     3.700786     2.513641     1.0     1.0
std        3.50411           0.0          0.0     0.159442     0.181540     0.233459        0.0          0.0   150.50739     0.036364  2297.586575              0.178763          0.0          0.0    107.200203          13.890084     53.965299              0.969382     0.158772     3.572223     0.0     0.0
min        0.00000           0.0          0.0     2.800000     2.700000     1.830000        0.0          0.0     0.00000   295.830000     0.000000              2.922000          0.0        571.0      0.000000          74.000000     74.000000             21.000000     2.980000     0.000000     1.0     1.0
25%        0.00000           0.0          0.0     3.490000     3.390000     3.280000        0.0          0.0     0.00000   295.850000     0.000000              3.511000          0.0        571.0     31.000000          74.000000    250.000000             21.000000     3.500000     0.000000     1.0     1.0
50%        0.03000           0.0          0.0     3.800000     3.730000     3.720000        0.0          0.0     0.00000   295.890000     0.000000              3.823000          0.0        571.0     62.000000          74.000000    250.000000             21.000000     3.820000     0.000000     1.0     1.0
75%        6.83000           0.0          0.0     3.800000     3.730000     3.730000        0.0          0.0   312.00000   295.910000  4737.250000              3.824000          0.0        571.0    255.000000         105.000000    250.000000             23.000000     3.820000     6.670000     1.0     1.0
max        9.34000           0.0          0.0     3.890000     4.220000     4.220000        0.0          0.0   335.00000   296.010000  4992.000000              3.852000          0.0        571.0    255.000000         105.000000    250.000000             23.000000     3.910000     9.580000     1.0     1.0
