,FT0101[l/m],PT0102[Bar],PT0201[Bar],PT0202[Bar],PT0203[Bar],p,outlet_pressure[Bar],p_lo_min[W],p_lo_max[W],pump_output_control_
count,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
mean,0.0,4.16,4.09,4.08,4.085555555555556,0.0,4.293222222222222,0.0,65535.0,21.0
std,0.0,0.0,0.0,0.0,0.005270462766947187,0.0,0.000440958551843854,0.0,0.0,0.0
min,0.0,4.16,4.09,4.08,4.08,0.0,4.293,0.0,65535.0,21.0
25%,0.0,4.16,4.09,4.08,4.08,0.0,4.293,0.0,65535.0,21.0
50%,0.0,4.16,4.09,4.08,4.09,0.0,4.293,0.0,65535.0,21.0
75%,0.0,4.16,4.09,4.08,4.09,0.0,4.293,0.0,65535.0,21.0
max,0.0,4.16,4.09,4.08,4.09,0.0,4.294,0.0,65535.0,21.0
