,FT0101[l/m],PT0102[Bar],PT0201[Bar],PT0202[Bar],PT0203[Bar],outlet_pressure[Bar],PT0106
count,351.0,351.0,351.0,351.0,351.0,351.0,351.0
mean,18.77817663817664,3.86991452991453,3.3327350427350426,3.5679202279202276,3.5711111111111107,3.999880341880342,3.871709401709402
std,0.0952655393913402,0.004374417805323492,0.01136088011861746,0.011757279372100434,0.01274661486341337,0.003874080299696656,0.0037699408765196315
min,18.48,3.86,3.31,3.54,3.53,3.986,3.87
25%,18.71,3.87,3.32,3.56,3.56,3.997,3.87
50%,18.79,3.87,3.33,3.57,3.57,4.0,3.87
75%,18.84,3.87,3.34,3.58,3.58,4.002,3.87
max,18.99,3.88,3.36,3.6,3.61,4.011,3.88
