,FT0101[l/m],PT0102[Bar],PT0201[Bar],PT0202[Bar],PT0203[Bar],outlet_pressure[Bar],PT0106
count,676.0,676.0,676.0,676.0,676.0,676.0,676.0
mean,25.02072485207101,3.380384615384615,2.9341715976331364,2.9241272189349115,1.2622633136094674,3.500226331360947,3.3742307692307687
std,0.08121069827795412,0.004760952285695252,0.006490573754762252,0.006797064635681114,0.00878020755491745,0.00329182405852125,0.004944132324730337
min,24.77,3.37,2.92,2.91,1.24,3.491,3.37
25%,24.97,3.38,2.93,2.92,1.26,3.499,3.37
50%,25.03,3.38,2.93,2.92,1.26,3.5,3.37
75%,25.08,3.38,2.94,2.93,1.27,3.503,3.38
max,25.19,3.39,2.95,2.94,1.28,3.508,3.38
