,FT0101[l/m],PT0102[Bar],PT0201[Bar],PT0202[Bar],PT0203[Bar],outlet_pressure[Bar],PT0106
count,834.0,834.0,834.0,834.0,834.0,834.0,834.0
mean,24.796067146282972,3.381199040767386,2.9394604316546764,2.930191846522782,1.287937649880096,3.4998141486810557,3.3767745803357316
std,0.09019187389902014,0.00432766016874611,0.006164725024474008,0.008694446666048242,0.0096052180317728,0.0034286052248970584,0.0046772958172650305
min,24.53,3.37,2.92,2.9,1.26,3.484,3.37
25%,24.74,3.38,2.94,2.93,1.28,3.497,3.37
50%,24.8,3.38,2.94,2.93,1.29,3.5,3.38
75%,24.85,3.38,2.94,2.94,1.29,3.502,3.38
max,25.01,3.39,2.96,2.96,1.32,3.509,3.38
