,FT0101[l/m],PT0102[Bar],PT0201[Bar],PT0202[Bar],PT0203[Bar],p,outlet_pressure[Bar],p_lo_min[W],p_lo_max[W],pump_output_control_
count,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0
mean,0.006726190476190477,4.260535714285713,4.1901190476190475,4.180297619047619,0.0,0.0,4.29252380952381,0.0,571.0,20.964285714285715
std,0.009123046017321201,0.0022584315927642517,0.0010878178112777748,0.0017043780322337988,0.0,0.0,0.0009347091574444859,0.0,0.0,0.4629100498862757
min,0.0,4.26,4.19,4.18,0.0,0.0,4.291,0.0,571.0,15.0
25%,0.0,4.26,4.19,4.18,0.0,0.0,4.292,0.0,571.0,21.0
50%,0.0,4.26,4.19,4.18,0.0,0.0,4.292,0.0,571.0,21.0
75%,0.01,4.26,4.19,4.18,0.0,0.0,4.293,0.0,571.0,21.0
max,0.04,4.27,4.2,4.19,0.0,0.0,4.295,0.0,571.0,21.0
