       FT0101[l/m]  FT0401[m3/h]  PT0101[Bar]  PT0102[Bar]  PT0201[Bar]  PT0202[Bar]  CV0201[%]  PT0203[Bar]             p       t_w[K]   speed[RPM]  outlet_pressure[Bar]  p_lo_min[W]  p_lo_max[W]  time_in_stop  last_time_in_stop  speed_avedev  pump_output_control_       PT0106       FT0105  PV0106  SC0401
count  1023.000000        1023.0       1023.0  1023.000000  1023.000000  1023.000000     1023.0       1023.0   1023.000000  1023.000000  1023.000000           1023.000000       1023.0  1023.000000   1023.000000        1023.000000   1023.000000           1023.000000  1023.000000  1023.000000  1023.0  1023.0
mean      1.583666           0.0          0.0     4.103578     4.028837     4.007478        0.0          0.0    248.837732   294.503744  2832.611926              4.122027          0.0   588.974585    155.189638          91.838710    187.330401             22.127077     4.118876     1.597634     1.0     1.0
std       1.589259           0.0          0.0     0.176271     0.182468     0.198345        0.0          0.0   1353.421104     0.453272  2471.209140              0.253530          0.0   406.320846    112.635573          59.100799     95.162434              0.985948     0.163923     1.646485     0.0     0.0
min       0.000000           0.0          0.0     2.900000     2.820000     2.790000        0.0          0.0      0.000000   294.410000     0.000000              0.000000          0.0   571.000000      0.000000          57.000000     17.000000             21.000000     3.140000     0.000000     1.0     1.0
25%       0.000000           0.0          0.0     3.980000     3.900000     3.860000        0.0          0.0      0.000000   294.440000     0.000000              4.002000          0.0   571.000000     35.000000          57.000000     62.000000             21.000000     4.000000     0.000000     1.0     1.0
50%       0.600000           0.0          0.0     4.050000     3.990000     3.980000        0.0          0.0    324.000000   294.500000  4945.000000              4.081000          0.0   571.000000    255.000000          57.000000    250.000000             23.000000     4.070000     0.000000     1.0     1.0
75%       3.230000           0.0          0.0     4.270000     4.200000     4.190000        0.0          0.0    343.000000   294.520000  5039.000000              4.297000          0.0   571.000000    255.000000         192.000000    250.000000             23.000000     4.280000     3.330000     1.0     1.0
max       3.330000           0.0          0.0     4.290000     4.230000     5.090000        0.0          0.0  30580.000000   304.700000  5200.000000              4.322000          0.0  9765.000000    255.000000         192.000000    250.000000             23.000000     4.300000     4.580000     1.0     1.0
