       FT0101[l/m]  FT0401[m3/h]  PT0101[Bar]  PT0102[Bar]  PT0201[Bar]  PT0202[Bar]  CV0201[%]  PT0203[Bar]            p       t_w[K]   speed[RPM]  outlet_pressure[Bar]  p_lo_min[W]  p_lo_max[W]  time_in_stop  last_time_in_stop  speed_avedev  pump_output_control_       PT0106       FT0105  PV0106  SC0401
count  1545.000000   1545.000000       1545.0  1545.000000  1545.000000  1545.000000     1545.0       1545.0  1545.000000  1545.000000  1545.000000           1545.000000       1545.0       1545.0   1545.000000        1545.000000   1545.000000           1545.000000  1545.000000  1545.000000  1545.0  1545.0
mean      6.586207      6.452304          0.0     4.111055     3.980913     3.783676        0.0          0.0   231.661489   294.505832  2836.838835              4.137897          0.0        571.0    155.167638          83.482848    228.849191             22.092557     4.119515     6.656168     1.0     1.0
std       7.169139      7.048326          0.0     0.179008     0.231291     0.420438        0.0          0.0   211.925670     0.031661  2525.921727              0.184465          0.0          0.0    111.583752          35.214423     43.110728              1.054157     0.167175     7.291038     0.0     0.0
min       0.000000      0.000000          0.0     2.220000     2.100000     1.970000        0.0          0.0     0.000000   294.440000     0.000000              2.404000          0.0        571.0      0.000000          50.000000      0.000000             15.000000     2.670000     0.000000     1.0     1.0
25%       0.010000      0.000000          0.0     3.980000     3.770000     3.340000        0.0          0.0     0.000000   294.480000     0.000000              4.006000          0.0        571.0     33.000000          64.000000    242.000000             21.000000     3.980000     0.000000     1.0     1.0
50%       0.040000      0.000000          0.0     4.060000     3.990000     3.980000        0.0          0.0   313.000000   294.500000  4969.000000              4.084000          0.0        571.0    255.000000          64.000000    250.000000             23.000000     4.070000     0.000000     1.0     1.0
75%      14.650000     14.400000          0.0     4.270000     4.200000     4.190000        0.0          0.0   446.000000   294.520000  5133.000000              4.294000          0.0        571.0    255.000000          64.000000    250.000000             23.000000     4.270000    15.000000     1.0     1.0
max      14.880000     14.430000          0.0     4.290000     4.230000     4.210000        0.0          0.0   454.000000   294.610000  5200.000000              4.317000          0.0        571.0    255.000000         147.000000    250.000000             23.000000     4.300000    15.830000     1.0     1.0
