,FT0101[l/m],PT0102[Bar],PT0201[Bar],PT0202[Bar],PT0203[Bar],outlet_pressure[Bar],PT0106
count,592.0,592.0,592.0,592.0,592.0,592.0,592.0
mean,1.4919256756756754,3.8775168918918914,3.7992229729729727,3.7923986486486485,3.7977702702702705,3.9999273648648646,3.8902702702702703
std,0.03289743919311741,0.005766146472788624,0.01012966422972902,0.010804673968160183,0.012150825750717196,0.004355962653835079,0.0016229929720752237
min,1.41,3.86,3.77,3.76,3.76,3.985,3.89
25%,1.47,3.87,3.79,3.79,3.79,3.997,3.89
50%,1.5,3.88,3.8,3.79,3.8,4.0,3.89
75%,1.52,3.88,3.8,3.8,3.8,4.003,3.89
max,1.56,3.89,3.83,3.83,3.84,4.011,3.9
