,FT0101[l/m],PT0102[Bar],PT0201[Bar],PT0202[Bar],PT0203[Bar],outlet_pressure[Bar],PT0106
count,817.0,817.0,817.0,817.0,817.0,817.0,817.0
mean,26.207135862913095,3.771040391676867,3.288776009791921,3.2791309669522652,1.4527906976744187,3.906401468788249,3.762447980416156
std,0.07074617982495111,0.003054983688433853,0.005487955817854945,0.007973837930587082,0.010148240049673211,0.002356758699041454,0.004302307743663334
min,26.01,3.77,3.27,3.25,1.42,3.901,3.76
25%,26.16,3.77,3.29,3.27,1.45,3.905,3.76
50%,26.2,3.77,3.29,3.28,1.45,3.906,3.76
75%,26.26,3.77,3.29,3.28,1.46,3.907,3.76
max,26.4,3.78,3.31,3.3,1.49,3.914,3.77
