,FT0101[l/m],PT0102[Bar],PT0201[Bar],PT0202[Bar],PT0203[Bar],outlet_pressure[Bar],PT0106
count,643.0,643.0,643.0,643.0,643.0,643.0,643.0
mean,24.946671850699847,3.3805754276827367,2.93597200622084,2.9261430793157075,1.2714463452566096,3.5002503888024883,3.37443234836703
std,0.08165230747147895,0.004583440965723592,0.006347601910852017,0.007387245544421489,0.009099219345461,0.0031232939025759264,0.004971540055173535
min,24.67,3.37,2.92,2.9,1.25,3.49,3.37
25%,24.89,3.38,2.93,2.92,1.27,3.499,3.37
50%,24.95,3.38,2.94,2.93,1.27,3.5,3.37
75%,25.01,3.38,2.94,2.93,1.28,3.502,3.38
max,25.15,3.39,2.95,2.95,1.3,3.508,3.38
