,FT0101[l/m],PT0102[Bar],PT0201[Bar],PT0202[Bar],PT0203[Bar],p,outlet_pressure[Bar],p_lo_min[W],p_lo_max[W],pump_output_control_
count,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0
mean,0.0,4.17,4.1,4.09,4.090857142857142,0.0,4.303971428571429,0.0,65535.0,21.0
std,0.0,0.0,0.0,0.0,0.002840286409986845,0.0,0.0008906611650478039,0.0,0.0,0.0
min,0.0,4.17,4.1,4.09,4.09,0.0,4.303,0.0,65535.0,21.0
25%,0.0,4.17,4.1,4.09,4.09,0.0,4.303,0.0,65535.0,21.0
50%,0.0,4.17,4.1,4.09,4.09,0.0,4.304,0.0,65535.0,21.0
75%,0.0,4.17,4.1,4.09,4.09,0.0,4.3045,0.0,65535.0,21.0
max,0.0,4.17,4.1,4.09,4.1,0.0,4.306,0.0,65535.0,21.0
