       FT0101[l/m]  FT0401[m3/h]  PT0101[Bar]  PT0102[Bar]  PT0201[Bar]  PT0202[Bar]  CV0201[%]  PT0203[Bar]           p      t_w[K]   speed[RPM]  outlet_pressure[Bar]  p_lo_min[W]  p_lo_max[W]  time_in_stop  last_time_in_stop  speed_avedev  pump_output_control_      PT0106      FT0105  PV0106  SC0401
count   537.000000         537.0        537.0   537.000000   537.000000   537.000000      537.0        537.0  537.000000  537.000000   537.000000            537.000000        537.0        537.0    537.000000         537.000000    537.000000            537.000000  537.000000  537.000000   537.0   537.0
mean      2.036704           0.0          0.0     4.147169     4.049516     4.053184        0.0          0.0  168.551210  294.421564  2646.256983              4.175169          0.0        571.0    150.538175          53.666667    246.512104             22.080074    4.158901    2.041899     1.0     1.0
std       3.838830           0.0          0.0     0.290149     0.335456     0.316004        0.0          0.0  160.145636    0.031572  2390.317153              0.295628          0.0          0.0    111.862318           2.359220     16.654533              0.988324    0.282343    4.032614     0.0     0.0
min       0.000000           0.0          0.0     1.930000     1.790000     1.810000        0.0          0.0    0.000000  294.330000     0.000000              1.956000          0.0        571.0      0.000000          52.000000    137.000000             21.000000    2.040000    0.000000     1.0     1.0
25%       0.010000           0.0          0.0     4.210000     4.150000     4.130000        0.0          0.0    0.000000  294.400000     0.000000              4.244000          0.0        571.0     39.000000          52.000000    250.000000             21.000000    4.230000    0.000000     1.0     1.0
50%       0.020000           0.0          0.0     4.250000     4.170000     4.160000        0.0          0.0  211.000000  294.410000  4477.000000              4.277000          0.0        571.0    255.000000          52.000000    250.000000             23.000000    4.250000    0.000000     1.0     1.0
75%       0.450000           0.0          0.0     4.280000     4.210000     4.200000        0.0          0.0  316.000000  294.440000  4945.000000              4.313000          0.0        571.0    255.000000          57.000000    250.000000             23.000000    4.290000    0.000000     1.0     1.0
max      10.390000           0.0          0.0     4.310000     4.600000     4.710000        0.0          0.0  401.000000  294.630000  5200.000000              4.384000          0.0        571.0    255.000000          57.000000    250.000000             23.000000    4.300000   12.500000     1.0     1.0
