,FT0101[l/m],PT0102[Bar],PT0201[Bar],PT0202[Bar],PT0203[Bar],outlet_pressure[Bar],PT0106
count,842.0,842.0,842.0,842.0,842.0,842.0,842.0
mean,19.33952494061758,3.86938242280285,3.308788598574821,3.5565083135391924,3.560166270783848,3.9999964370546315,3.8708669833729212
std,0.11862875862816223,0.005716120252943829,0.012469433283219387,0.0061814076071890324,0.01506927018118046,0.004748739029217561,0.002857516557651003
min,19.04,3.86,3.27,3.54,3.52,3.988,3.87
25%,19.24,3.87,3.3,3.55,3.55,3.996,3.87
50%,19.34,3.87,3.31,3.56,3.56,4.0,3.87
75%,19.43,3.87,3.32,3.56,3.57,4.003,3.87
max,19.59,3.89,3.34,3.58,3.61,4.013,3.89
